Property_ID,Market,State,City,Finished_SqFt,Acquisition_Price,Pending_Date,Resale_Price_Estimate,Pending_Price,Sale_Price,Closing_Date,Profit_Loss,Sale_vs_Resale_Ratio,Volume,Listing_Date,DOM,Sold?
X1-ORz270742j2i62_aggb4,Atlanta,Georgia,Cumming,2646,448500,9/9/2021,469900,469900,469900,9/21/2021,21400,0.652736068,1,9/8/2021,1,1
X1-ORz2a001x0rtru_ggrvu,Cincinnati,Ohio,Mason,1275,154000,9/9/2021,161000,161100,161000,9/23/2021,7000,2.309627366,1,9/8/2021,1,1
X1-ORz0f4whgaaet6_duns7,Miami,Florida,Palm Beach Gardens,1400,468900,9/9/2021,472000,475900,472000,9/24/2021,3100,0.653443898,1,9/8/2021,1,1
X1-ORz292itvdx8qi_hhao4,Dallas,Texas,Arlington,1860,304700,9/9/2021,284000,294900,284000,9/24/2021,-20700,1.223697786,1,9/8/2021,1,1
X1-ORz2atc38j120q_j4ajy,San Antonio,Texas,San Antonio,1459,253400,9/9/2021,262263,268900,262263,9/27/2021,8863,0.85933105,1,9/8/2021,1,1
X1-ORz0gtts73q6pm_anh5h,Denver,Colorado,Fort Collins,2216,627100,9/9/2021,580000,599900,580000,9/28/2021,-47100,0.723838456,1,9/8/2021,1,1
X1-ORz2cj7daiaum2_gjl0s,Jacksonville,Florida,Fernandina Beach,1980,374229,9/9/2021,380000,384200,380000,9/29/2021,5771,0.54496307,1,9/8/2021,1,1
X1-ORz0hcevkes1a2_drun9,Houston,Texas,Porter,2250,266400,9/9/2021,245000,259900,245000,9/29/2021,-21400,0.772190735,1,9/8/2021,1,1
X1-ORz29z6ocgef0a_fj28i,Atlanta,Georgia,Woodstock,2327,331000,9/9/2021,339600,342900,339600,9/30/2021,8600,0.599394474,1,9/8/2021,1,1
X1-ORz0gjba3nv98a_af1qn,Dallas,Texas,Little Elm,1998,356100,9/9/2021,390000,389900,390000,9/30/2021,33900,0.881044573,1,9/8/2021,1,1
X1-ORz0f17av6l2t6_irnfp,Raleigh,North Carolina,Raleigh,1198,259000,9/9/2021,310100,299900,310100,9/30/2021,51100,0.740311949,1,9/8/2021,1,1
X1-ORz27b71lsqvsq_cn45k,Atlanta,Georgia,Stone Mountain,1892,221300,9/9/2021,238000,233200,238000,9/30/2021,16700,1.044332783,1,9/8/2021,1,1
