Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
Linkin Park,alternative,93,27698423,6XyY86QOPPrYVGvF9ch6wz,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,29783250.54,5,"alternative metal, nu metal, post-grunge, rap metal, rock",Unknown
The Neighbourhood,alternative,86,18578425,77SW9BnxLY8rJ0RciFqkHh,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,21602819.77,3,"modern alternative rock, modern rock, pop",Unknown
Deftones,alternative,81,6207308,6Ghvu1VvMGScGpOUJBAHNH,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH,7663343.21,5,"alternative metal, nu metal, rap metal, rock, sacramento indie",Unknown
Radiohead,alternative,84,10909597,4Z8W4fKeB5YxbusRsdQVPb,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,12987615.48,6,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",Unknown
Red Hot Chili Peppers,alternative,84,21638220,0L8ExT028jH3ddEcZwqJJ5,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,25759785.71,5,"alternative rock, funk metal, funk rock, permanent wave, rock",Unknown
System Of A Down,alternative,83,11715877,5eAWCfyUhZtHHtBdNk56l1,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,14115514.46,4,"alternative metal, nu metal, rap metal, rock",Unknown
Chase Atlantic,alternative,83,8474145,7cYEt1pqMgXJdq00hAwVpT,spotify:artist:7cYEt1pqMgXJdq00hAwVpT,10209813.25,1,alternative r&b,Unknown
Nickelback,alternative,80,7184682,6deZN1bslXzeGvOLaLMOIF,spotify:artist:6deZN1bslXzeGvOLaLMOIF,8980852.5,3,"alternative metal, canadian rock, post-grunge",Unknown
Slipknot,alternative,81,12181851,05fG473iIaoy82BF1aGhL8,spotify:artist:05fG473iIaoy82BF1aGhL8,15039322.22,4,"alternative metal, nu metal, rap metal, rock",Unknown
Dominic Fike,alternative,79,1934643,6USv9qhCn6zfxlBQIYJ9qs,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,2448915.19,2,"alternative pop rock, pov: indie",Unknown
Gorillaz,alternative,81,12377692,3AA28KZvwAUcZuOKwyblJQ,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,15281101.23,3,"alternative hip hop, modern rock, rock",Unknown
blink-182,alternative,79,8632957,6FBDaR13swtiWwGhX1WQsP,spotify:artist:6FBDaR13swtiWwGhX1WQsP,10927793.67,6,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",Unknown
Three Days Grace,alternative,78,6428341,2xiIXseIJcq3nG7C8fHeBj,spotify:artist:2xiIXseIJcq3nG7C8fHeBj,8241462.82,6,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock",Unknown
Doechii,alternative,77,694150,4E2rKHVDssGJm2SCDOMMJB,spotify:artist:4E2rKHVDssGJm2SCDOMMJB,901493.51,1,alternative r&b,Unknown
Korn,alternative,78,8249355,3RNrq3jvMZxD9ZyoOZbQOD,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,10576096.15,7,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",Unknown
Cage The Elephant,alternative,76,3931299,26T3LtbuGT1Fu9m0eRq5X3,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,5172761.84,5,"modern alternative rock, modern rock, pov: indie, punk blues, rock",Unknown
Weezer,alternative,76,3938973,3jOstUTkEu2JkjvRdBA5Gu,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,5182859.21,5,"alternative rock, modern power pop, modern rock, permanent wave, rock",Unknown
